label,feature_set,endpoint,horizon_years,model,mode,seed,n_features,n_usable_train,n_positive_train,horizon_auc,surv_cindex_mean,surv_cindex_std,surv_cindex_min,wall_seconds,rho_oof_anchor,rho_test_anchor
v3_hepatic_schema__hepatic__h2__catboost_binary__downweight,v3_hepatic_schema,hepatic,2.0,catboost_binary,downweight,0,215,1253,15,0.6500807754442649,0.6839599246106537,0.0984300699312986,0.5116279069767442,8.214747190475464,0.35813300120373165,0.5005139949926399
NIT_plus_scores__hepatic__h2p5__lgbm_binary__soft_weight,NIT_plus_scores,hepatic,2.5,lgbm_binary,soft_weight,0,55,1253,15,0.7150780829294561,0.6831663525443904,0.10232467590755694,0.5207171314741036,1.3443036079406738,0.3317556795932666,0.34505233989110723
NIT_plus_scores__hepatic__h2p5__lgbm_binary__downweight,NIT_plus_scores,hepatic,2.5,lgbm_binary,downweight,0,55,1253,15,0.7324178782983307,0.7029395231954502,0.1086798245305498,0.5131782945736434,1.3211441040039062,0.3235489136656263,0.34705663299291195
v3_hepatic_schema__hepatic__h3__lgbm_binary__soft_weight,v3_hepatic_schema,hepatic,3.0,lgbm_binary,soft_weight,0,215,1253,21,0.721900123685838,0.7161491915484575,0.1329259110200313,0.4915378955114054,2.37864089012146,0.4641946678542188,0.509702128654724
v3_hepatic_schema__hepatic__h3__lgbm_binary__downweight,v3_hepatic_schema,hepatic,3.0,lgbm_binary,downweight,0,215,1253,21,0.7178803339517625,0.7128426412723605,0.1318321940656531,0.46431199411331864,2.352828025817871,0.4641271796516349,0.5000333546779525
NIT_plus_scores__hepatic__h3p5__lgbm_binary__soft_weight,NIT_plus_scores,hepatic,3.5,lgbm_binary,soft_weight,0,55,1253,21,0.7909709338280766,0.7765433323413683,0.10664140622598917,0.5844961240310077,1.4287927150726318,0.43241680956285966,0.43147880927565563
NIT_plus_scores__hepatic__h3p5__lgbm_binary__downweight,NIT_plus_scores,hepatic,3.5,lgbm_binary,downweight,0,55,1253,21,0.7614795918367346,0.7369308600337268,0.11549353954785986,0.5856573705179283,1.4185566902160645,0.4278879488396499,0.4219096038681151
v3_hepatic_schema__hepatic__h4__catboost_binary__soft_weight,v3_hepatic_schema,hepatic,4.0,catboost_binary,soft_weight,0,215,1253,24,0.7455587198264171,0.7640445722977218,0.12014483445613407,0.5612403100775194,7.99938440322876,0.5443118511581431,0.6566317245200928
v3_hepatic_schema__hepatic__h4__catboost_binary__downweight,v3_hepatic_schema,hepatic,4.0,catboost_binary,downweight,0,215,1253,24,0.75793327908869,0.7616142578447905,0.11622614275686068,0.5395348837209303,8.42693829536438,0.5303657994756626,0.6598912474986516
NIT_plus_scores__hepatic__h4p5__lgbm_binary__soft_weight,NIT_plus_scores,hepatic,4.5,lgbm_binary,soft_weight,0,55,1253,24,0.7379305668565228,0.7472142313923883,0.11998190515103896,0.5410852713178295,1.7121593952178955,0.4775658677063112,0.48556523297043863
