endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,experiment,death_target_mode,dir,cindex_max,cindex_mean_minus_halfsd,score_for_hepatic_priority
death,lgbm_binary,labs_longitudinal_only,moderate,15,0.7151578397733709,0.0734769990970079,0.5916905444126075,phase2_labs_longitudinal_only,censor_missing_death_at_last_visit,20260426_1823_phase2_labs_longitudinal_only,0.8912386706948641,0.6784193402248669,0.6784193402248669
death,lgbm_binary,first_3y,low,15,0.7208072448649322,0.0876354940557165,0.6002865329512894,phase2_first_3y,censor_missing_death_at_last_visit,20260426_1819_phase2_first_3y,0.90785498489426,0.6769894978370739,0.676989497837074
death,lgbm_binary,first_2y,low,15,0.7015863860787657,0.0500551747042334,0.6137135098438561,phase2_first_2y,censor_missing_death_at_last_visit,20260426_1810_phase2_first_2y,0.8157099697885196,0.6765587987266489,0.6765587987266489
death,catboost_binary,first_2y,low,15,0.7060196400395654,0.0713118833317012,0.5648148148148148,phase2_first_2y,censor_missing_death_at_last_visit,20260426_1810_phase2_first_2y,0.8109833971902938,0.6703636983737148,0.6703636983737148
death,catboost_binary,NIT_plus_scores_longitudinal,moderate,15,0.7033502573061532,0.069890589736123,0.6121530382595649,phase2_NIT_plus_scores_longitudinal,censor_missing_death_at_last_visit,20260426_1755_phase2_NIT_plus_scores_longitudinal,0.8477119279819955,0.6684049624380917,0.6684049624380917
death,catboost_binary,first_3y,low,15,0.7158772453911197,0.1051171416925926,0.4391534391534391,phase2_first_3y,censor_missing_death_at_last_visit,20260426_1819_phase2_first_3y,0.850453172205438,0.6633186745448234,0.6633186745448234
death,catboost_binary,labs_longitudinal_only,moderate,15,0.6977867205932058,0.0733624950264258,0.6103151862464183,phase2_labs_longitudinal_only,censor_missing_death_at_last_visit,20260426_1823_phase2_labs_longitudinal_only,0.9063444108761328,0.6611054730799929,0.6611054730799929
death,lgbm_binary,baseline_v1,low,25,0.7021980493175195,0.0828239280170116,0.5207986688851913,001_baseline_v1_drop_missing_death,drop_missing_death,20260426_1618_001_baseline_v1_drop_missing_death,,,0.6607860853090137
death,xgb_binary,labs_longitudinal_only,moderate,15,0.6986586453616191,0.0809251391833883,0.5644699140401146,phase2_labs_longitudinal_only,censor_missing_death_at_last_visit,20260426_1823_phase2_labs_longitudinal_only,0.8821752265861027,0.658196075769925,0.658196075769925
death,xgb_binary,NIT_longitudinal_only,moderate,15,0.6942089432878535,0.0847023316267787,0.5243553008595988,phase2_NIT_longitudinal_only,censor_missing_death_at_last_visit,20260426_1751_phase2_NIT_longitudinal_only,0.8518518518518519,0.6518577774744642,0.6518577774744642
death,catboost_binary,early_v1_v3,low/moderate,25,0.6960602994484003,0.0915284605518122,0.514721919302072,003_early_v1_v3,censor_missing_death_at_last_visit,20260426_1620_003_early_v1_v3,,,0.6502960691724942
death,lgbm_binary,baseline_v1,low,25,0.6839761110465429,0.0859139600005721,0.5224625623960066,002_baseline_v1_censor_missing_death,censor_missing_death_at_last_visit,20260426_1619_002_baseline_v1_censor_missing_death,,,0.6410191310462569
death,xgb_binary,first_3_visits,low,15,0.6781200161682966,0.0750908159702973,0.5166327223353699,phase2_first_3_visits,censor_missing_death_at_last_visit,20260426_1815_phase2_first_3_visits,0.8066465256797583,0.6405746081831479,0.640574608183148
death,catboost_binary,first_3_visits,low,15,0.6717369940274109,0.0671968592688311,0.5602836879432624,phase2_first_3_visits,censor_missing_death_at_last_visit,20260426_1815_phase2_first_3_visits,0.7854463615903976,0.6381385643929953,0.6381385643929954
death,lgbm_binary,first_3_visits,low,15,0.6706039429578279,0.0686981876795217,0.5560802833530106,phase2_first_3_visits,censor_missing_death_at_last_visit,20260426_1815_phase2_first_3_visits,0.783987915407855,0.636254849118067,0.6362548491180671
death,catboost_binary,NIT_longitudinal_only,moderate,15,0.6846620741658247,0.0986518599692268,0.5158124318429662,phase2_NIT_longitudinal_only,censor_missing_death_at_last_visit,20260426_1751_phase2_NIT_longitudinal_only,0.8373015873015873,0.6353361441812113,0.6353361441812113
death,lgbm_binary,first_1y,low,15,0.6647624643250473,0.080531291255699,0.4860828241683639,phase2_first_1y,censor_missing_death_at_last_visit,20260426_1807_phase2_first_1y,0.795198799699925,0.6244968186971978,0.6244968186971978
death,lgbm_binary,baseline_plus_landmark_trends,low,15,0.6670538143687105,0.0851847697641155,0.5315682281059063,phase2_baseline_plus_landmark_trends,censor_missing_death_at_last_visit,20260426_1803_phase2_baseline_plus_landmark_trends,0.8368580060422961,0.6244614294866527,0.6244614294866527
death,catboost_binary,clinical_scores_dynamic,low,15,0.6479817893303595,0.0700939400931855,0.5408942202835333,phase2_clinical_scores_dynamic,censor_missing_death_at_last_visit,20260426_1806_phase2_clinical_scores_dynamic,0.7706214689265537,0.6129348192837668,0.6129348192837668
death,xgb_binary,first_1y,low,15,0.654985658857127,0.089969235161244,0.5030549898167006,phase2_first_1y,censor_missing_death_at_last_visit,20260426_1807_phase2_first_1y,0.8021148036253777,0.610001041276505,0.610001041276505
death,catboost_binary,first_1y,low,15,0.6493341903005729,0.0816231802002864,0.5437201907790143,phase2_first_1y,censor_missing_death_at_last_visit,20260426_1807_phase2_first_1y,0.795198799699925,0.6085226002004297,0.6085226002004297
death,xgb_binary,baseline_plus_landmark_trends,low,15,0.6414404785896592,0.0715347959676204,0.5417515274949084,phase2_baseline_plus_landmark_trends,censor_missing_death_at_last_visit,20260426_1803_phase2_baseline_plus_landmark_trends,0.8051359516616314,0.605673080605849,0.605673080605849
death,catboost_binary,baseline_v1,low,25,0.6548843447069224,0.1011475154663763,0.4434276206322795,001_baseline_v1_drop_missing_death,drop_missing_death,20260426_1618_001_baseline_v1_drop_missing_death,,,0.6043105869737342
death,catboost_binary,baseline_v1,low,25,0.6415800633536908,0.0987388993151067,0.4259567387687188,002_baseline_v1_censor_missing_death,censor_missing_death_at_last_visit,20260426_1619_002_baseline_v1_censor_missing_death,,,0.5922106136961375
death,catboost_binary,baseline_plus_landmark_trends,low,15,0.6187439650244353,0.0728524725840555,0.5288985823336968,phase2_baseline_plus_landmark_trends,censor_missing_death_at_last_visit,20260426_1803_phase2_baseline_plus_landmark_trends,0.7688821752265861,0.5823177287324075,0.5823177287324075
death,lgbm_binary,clinical_scores_dynamic,low,15,0.6190566358593194,0.0844898747805639,0.4769503546099291,phase2_clinical_scores_dynamic,censor_missing_death_at_last_visit,20260426_1806_phase2_clinical_scores_dynamic,0.7719429857464366,0.5768116984690373,0.5768116984690375
death,xgb_binary,clinical_scores_dynamic,low,15,0.6090160156259969,0.0822890808431114,0.4556737588652482,phase2_clinical_scores_dynamic,censor_missing_death_at_last_visit,20260426_1806_phase2_clinical_scores_dynamic,0.7376185458377239,0.5678714752044413,0.5678714752044413
death,coxnet,early_v1_v3,low/moderate,0,,,,003_early_v1_v3,censor_missing_death_at_last_visit,20260426_1620_003_early_v1_v3,,,
death,rsf,early_v1_v3,low/moderate,0,,,,003_early_v1_v3,censor_missing_death_at_last_visit,20260426_1620_003_early_v1_v3,,,
hepatic,xgb_cox,strict_time_aligned,low/moderate,15,0.9743263377864098,0.0129480050814479,0.9481203007518796,006_strict_time_aligned,censor_missing_death_at_last_visit,20260426_1636_006_strict_time_aligned,,,0.9678523352456858
hepatic,rsf,strict_time_aligned,low/moderate,15,0.954061120048292,0.025645503056002,0.8936855670103093,006_strict_time_aligned,censor_missing_death_at_last_visit,20260426_1636_006_strict_time_aligned,,,0.941238368520291
hepatic,lgbm_binary,strict_time_aligned,low/moderate,15,0.8973379552273546,0.0574879515522887,0.7768878718535469,006_strict_time_aligned,censor_missing_death_at_last_visit,20260426_1636_006_strict_time_aligned,,,0.8685939794512102
hepatic,catboost_binary,strict_time_aligned,low/moderate,15,0.8915031248379918,0.0618900534296568,0.7768878718535469,006_strict_time_aligned,censor_missing_death_at_last_visit,20260426_1636_006_strict_time_aligned,,,0.8605580981231634
hepatic,rsf,full_high_risk,high,15,0.8219658776467414,0.1072973187435688,0.6181015452538632,007_full_high_risk,censor_missing_death_at_last_visit,20260426_1637_007_full_high_risk,,,0.768317218274957
hepatic,rsf,NIT_plus_clinical_scores,low/moderate,15,0.8192367985307196,0.1134822472038073,0.5891472868217055,005_NIT_plus_clinical_scores,censor_missing_death_at_last_visit,20260426_1635_005_NIT_plus_clinical_scores,,,0.762495674928816
hepatic,rsf,aggressive_longitudinal,moderate-high,15,0.804516082079099,0.1041753890956188,0.5984496124031008,phase2_aggressive_longitudinal,censor_missing_death_at_last_visit,20260426_1758_phase2_aggressive_longitudinal,0.9563953488372092,0.7524283875312895,0.7524283875312896
hepatic,rsf,all_visits_longitudinal,high,15,0.8041265859390325,0.1128374631736715,0.5743193524650478,004_all_visits_longitudinal,censor_missing_death_at_last_visit,20260426_1632_004_all_visits_longitudinal,,,0.7477078543521968
hepatic,rsf,NIT_plus_scores_longitudinal,moderate,15,0.8029885772917752,0.1192101649342345,0.602390438247012,phase2_NIT_plus_scores_longitudinal,censor_missing_death_at_last_visit,20260426_1755_phase2_NIT_plus_scores_longitudinal,0.9651162790697676,0.7433834948246579,0.7433834948246579
hepatic,rsf,baseline_v1,low,25,0.790439092923894,0.1070940185152166,0.5085271317829457,001_baseline_v1_drop_missing_death,drop_missing_death,20260426_1618_001_baseline_v1_drop_missing_death,,,0.7368920836662858
hepatic,rsf,baseline_v1,low,25,0.790439092923894,0.1070940185152166,0.5085271317829457,002_baseline_v1_censor_missing_death,censor_missing_death_at_last_visit,20260426_1619_002_baseline_v1_censor_missing_death,,,0.7368920836662858
hepatic,rsf,longitudinal_no_followup_proxies,moderate,15,0.7933273374328346,0.1180904842441685,0.5879323031640913,phase2_longitudinal_no_followup_proxies,censor_missing_death_at_last_visit,20260426_1826_phase2_longitudinal_no_followup_proxies,0.9583333333333334,0.7342820953107503,0.7342820953107503
hepatic,rsf,NIT_longitudinal_only,moderate,15,0.7873947043646969,0.1244354379806552,0.5829457364341085,phase2_NIT_longitudinal_only,censor_missing_death_at_last_visit,20260426_1751_phase2_NIT_longitudinal_only,0.9556686046511628,0.7251769853743694,0.7251769853743694
hepatic,lgbm_binary,early_v1_v3,low/moderate,25,0.7634697844099937,0.0936704408570909,0.5386313465783664,003_early_v1_v3,censor_missing_death_at_last_visit,20260426_1620_003_early_v1_v3,,,0.7166345639814482
hepatic,xgb_binary,aggressive_longitudinal,moderate-high,15,0.7625843665544118,0.1070788467875785,0.5767441860465117,phase2_aggressive_longitudinal,censor_missing_death_at_last_visit,20260426_1758_phase2_aggressive_longitudinal,0.9462209302325582,0.7090449431606225,0.7090449431606225
hepatic,lgbm_binary,aggressive_longitudinal,moderate-high,15,0.7605601749968594,0.1042540102956585,0.6070640176600441,phase2_aggressive_longitudinal,censor_missing_death_at_last_visit,20260426_1758_phase2_aggressive_longitudinal,0.9498546511627908,0.70843316984903,0.70843316984903
hepatic,xgb_cox,NIT_plus_scores_longitudinal,moderate,15,0.7711342383106333,0.1311885258434192,0.5171314741035856,phase2_NIT_plus_scores_longitudinal,censor_missing_death_at_last_visit,20260426_1755_phase2_NIT_plus_scores_longitudinal,0.95630081300813,0.7055399753889238,0.7055399753889238
hepatic,lgbm_binary,NIT_plus_clinical_scores,low/moderate,15,0.758214584753586,0.1167543769534597,0.5827067669172933,005_NIT_plus_clinical_scores,censor_missing_death_at_last_visit,20260426_1635_005_NIT_plus_clinical_scores,,,0.6998373962768563
hepatic,lgbm_binary,longitudinal_no_followup_proxies,moderate,15,0.7542106136158662,0.1097617998677857,0.5876288659793815,phase2_longitudinal_no_followup_proxies,censor_missing_death_at_last_visit,20260426_1826_phase2_longitudinal_no_followup_proxies,0.940040650406504,0.6993297136819733,0.6993297136819733
hepatic,xgb_cox,NIT_plus_clinical_scores,low/moderate,15,0.7715075605064755,0.1451178934129465,0.4679911699779249,005_NIT_plus_clinical_scores,censor_missing_death_at_last_visit,20260426_1635_005_NIT_plus_clinical_scores,,,0.6989486138000023
hepatic,catboost_binary,early_v1_v3,low/moderate,25,0.7601220569940018,0.1224165009439331,0.4573643410852713,003_early_v1_v3,censor_missing_death_at_last_visit,20260426_1620_003_early_v1_v3,,,0.6989138065220353
